category,metric,hour,value
lwbs,median,21,0
lwbs,median,22,0
lwbs,median,23,0
lwbs,p25,0,0
lwbs,p25,1,0
lwbs,p25,2,0
lwbs,p25,3,0
lwbs,p25,4,0
lwbs,p25,5,0
lwbs,p25,6,0
lwbs,p25,7,0
lwbs,p25,8,0
lwbs,p25,9,0
lwbs,p25,10,0
lwbs,p25,11,0
lwbs,p25,12,0
lwbs,p25,13,0
lwbs,p25,14,0
lwbs,p25,15,0
lwbs,p25,16,0
lwbs,p25,17,0
lwbs,p25,18,0
lwbs,p25,19,0
lwbs,p25,20,0
lwbs,p25,21,0
lwbs,p25,22,0
lwbs,p25,23,0
lwbs,p75,0,0
lwbs,p75,1,0
lwbs,p75,2,0
lwbs,p75,3,0
lwbs,p75,4,0
lwbs,p75,5,0
lwbs,p75,6,0
lwbs,p75,7,0
lwbs,p75,8,0
lwbs,p75,9,0
lwbs,p75,10,0
lwbs,p75,11,0
lwbs,p75,12,0
lwbs,p75,13,0
lwbs,p75,14,0
lwbs,p75,15,0
lwbs,p75,16,0
lwbs,p75,17,0
lwbs,p75,18,0
lwbs,p75,19,0
lwbs,p75,20,1
lwbs,p75,21,1
lwbs,p75,22,0
lwbs,p75,23,0
lwbs,p95,0,1
lwbs,p95,1,0
lwbs,p95,2,0
lwbs,p95,3,0
lwbs,p95,4,0
lwbs,p95,5,0
lwbs,p95,6,0
lwbs,p95,7,0
lwbs,p95,8,0
lwbs,p95,9,0
lwbs,p95,10,0
lwbs,p95,11,0
lwbs,p95,12,1
lwbs,p95,13,1
lwbs,p95,14,1
lwbs,p95,15,0
lwbs,p95,16,1
lwbs,p95,17,1
lwbs,p95,18,1
lwbs,p95,19,1
lwbs,p95,20,2
lwbs,p95,21,2
lwbs,p95,22,2
lwbs,p95,23,1
lwbs,stdev,0,0.394171
lwbs,stdev,1,0.304285
lwbs,stdev,2,0.204742
lwbs,stdev,3,0.14642
lwbs,stdev,4,0.127157
lwbs,stdev,5,0
lwbs,stdev,6,0.073821
lwbs,stdev,7,0.052271
lwbs,stdev,8,0.116239
lwbs,stdev,9,0.137154
lwbs,stdev,10,0.21963
lwbs,stdev,11,0.205836
lwbs,stdev,12,0.269074
lwbs,stdev,13,0.303139
lwbs,stdev,14,0.269074
lwbs,stdev,15,0.228843
lwbs,stdev,16,0.447766
lwbs,stdev,17,0.446401
lwbs,stdev,18,0.47443
